Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,temp,location,clouds,pressure,rain,time_stamp,humidity,wind,surge_factor
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745626508575,0.7237,South Station,0.89,0.2524,0.0,1543830779,0.9259,0.0615,1.3197
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432507972432,0.7365,Back Bay,0.99,0.713,0.0143,1544870701,0.8333,0.2957,1.4044
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.79438015283176,0.7365,Beacon Hill,0.99,0.7126,0.2103,1544870701,0.8333,0.299,1.4439
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698091748401,0.7402,Boston University,0.99,0.713,0.1182,1544870701,0.8148,0.2918,1.4244
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264188845,0.7603,Financial District,0.99,0.7126,0.0,1544870701,0.7778,0.3013,1.4028
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291344428,0.7354,Haymarket Square,0.99,0.7126,0.1157,1544870701,0.8333,0.3018,1.4251
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339145253,0.7362,North End,0.99,0.7124,0.0242,1544870701,0.8333,0.3024,1.4069
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.9860100296204,0.7332,North Station,0.99,0.7124,0.0,1544870701,0.8333,0.3013,1.4015
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520851587072,0.7273,Northeastern University,0.99,0.7132,0.1528,1544870701,0.8519,0.2929,1.4314
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593915947267,0.7281,Theatre District,0.99,0.7128,0.2069,1544870701,0.8519,0.299,1.4429
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.5887110300315,0.7309,West End,0.99,0.7126,0.1941,1544870701,0.8519,0.3002,1.4408
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.33854512223814,0.6907,Back Bay,0.19,0.8905,0.0,1544813101,0.2963,0.1733,1.2533
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429041832141,0.6862,Beacon Hill,0.19,0.8905,0.0339,1544813101,0.2963,0.1733,1.2594
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899337195,0.6882,Boston University,0.2,0.8903,0.1166,1544813101,0.2963,0.1727,1.2777
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671016029,0.696,Fenway,0.2,0.8903,0.1997,1544813101,0.2963,0.1727,1.2955
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.258155352454,0.6966,Financial District,0.18,0.8908,0.012,1544813101,0.2778,0.1738,1.2542
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.05527443495566,0.6915,Haymarket Square,0.19,0.8908,0.0498,1544813101,0.2963,0.1738,1.2635
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343854791753,0.6915,North End,0.18,0.8908,0.0,1544813101,0.2963,0.1738,1.252
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288248255,0.6935,North Station,0.19,0.8905,0.0,1544813101,0.2963,0.1733,1.2537
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.58040412487964,0.6943,Theatre District,0.19,0.8905,0.1787,1544813101,0.2963,0.1733,1.2896
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046053331,0.6927,West End,0.19,0.8905,0.2489,1544813101,0.2963,0.1733,1.3034
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515260551269,0.5697,Back Bay,0.95,0.2699,0.0646,1545068701,0.6667,0.3449,1.3357
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.97356882411634,0.5633,Beacon Hill,0.95,0.2697,0.2034,1545068701,0.6667,0.3438,1.3624
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.0531279855558,0.5736,Boston University,0.94,0.2701,0.1205,1545068701,0.6481,0.3438,1.3449
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.34417984860374,0.577,Fenway,0.94,0.2701,0.0,1545068701,0.6481,0.3454,1.3215
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.30170917475425,0.5664,Financial District,0.96,0.2697,0.1205,1545068701,0.6667,0.3449,1.3479
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.49212153190336,0.5652,Haymarket Square,0.95,0.2697,0.2723,1545068701,0.6667,0.3432,1.3764
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.11502370436019,0.5644,North End,0.96,0.2697,0.0692,1545068701,0.6667,0.3432,1.3371
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621142931812,0.5672,North Station,0.95,0.2697,0.2758,1545068701,0.6667,0.3426,1.3773
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577542620492,0.5742,Northeastern University,0.94,0.2701,0.0,1545068701,0.6481,0.3466,1.3212
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.240499627505,0.5666,South Station,0.95,0.2699,0.18,1545068701,0.6667,0.3454,1.3584
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104185831,0.5672,Theatre District,0.95,0.2699,0.0851,1545068701,0.6667,0.3449,1.3394
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703191874,0.5571,West End,0.95,0.2693,0.0352,1545068701,0.6667,0.3466,1.328
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.49261837786293,0.53,Back Bay,0.75,0.1831,0.0857,1543451968,0.4444,0.5992,1.3096
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451307734787,0.5289,Beacon Hill,0.75,0.1828,0.0,1543451968,0.4444,0.6015,1.2925
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.46644254307614,0.5309,Boston University,0.74,0.1835,0.0455,1543451968,0.4444,0.5897,1.2993
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.14534513079855,0.5233,Fenway,0.75,0.1837,0.1199,1543451968,0.463,0.5931,1.3158
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681264991488,0.5136,Financial District,0.76,0.1826,0.2646,1543451968,0.4815,0.6082,1.3471
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608868741742,0.5281,Haymarket Square,0.75,0.1824,0.0069,1543451968,0.4444,0.6048,1.294
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568747653598,0.5289,North End,0.75,0.1824,0.0,1543451968,0.4444,0.6059,1.2929
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.35700254441711,0.5258,North Station,0.75,0.1824,0.0091,1543451968,0.4444,0.6026,1.2939
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951423794,0.5225,Northeastern University,0.75,0.1835,0.192,1543451968,0.463,0.5981,1.3306
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.03832988580584,0.5119,South Station,0.76,0.1826,0.1163,1543451968,0.4815,0.6093,1.3173
58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.26295506529306,0.5233,Theatre District,0.76,0.1828,0.0055,1543451968,0.463,0.6054,1.2956
34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369764527329,0.5244,West End,0.75,0.1826,0.1401,1543451968,0.4444,0.602,1.3199
70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.8024750869831,0.4669,Beacon Hill,0.29,0.2885,0.0863,1545101102,0.4444,0.5444,1.2363
51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.09069016935676,0.4856,Financial District,0.29,0.2882,0.1989,1545101102,0.4074,0.5484,1.2601
88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576532597614,0.4621,West End,0.29,0.2902,0.0,1545101102,0.463,0.5433,1.2193
25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709061221,0.4795,Back Bay,0.42,0.7551,0.0315,1543708374,0.5741,0.1219,1.2576
34,19,Rural,Regular,51,4.2,Night,Premium,166,754.2344800100251,0.4783,Boston University,0.44,0.7553,0.0232,1543708374,0.5741,0.1196,1.2586
40,15,Urban,Regular,90,3.62,Night,Premium,42,211.52772882563164,0.4758,Fenway,0.44,0.7551,0.0,1543708374,0.5741,0.1196,1.2535
26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,460.75927538572495,0.4448,Financial District,0.4,0.7551,0.1121,1543708374,0.6481,0.1247,1.2695
81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,164.10747354764283,0.4795,Haymarket Square,0.4,0.7551,0.1076,1543708374,0.5741,0.1247,1.2701
80,56,Suburban,Gold,63,4.57,Night,Premium,43,213.6962129956236,0.4806,North End,0.4,0.7551,0.0745,1543708374,0.5741,0.1252,1.2637
64,19,Rural,Gold,86,4.68,Night,Premium,171,732.9893961300692,0.4783,North Station,0.4,0.7551,0.0436,1543708374,0.5741,0.1241,1.2571
45,18,Rural,Gold,68,4.07,Morning,Economy,136,350.6012026111729,0.4767,Northeastern University,0.43,0.7551,0.0,1543708374,0.5741,0.1207,1.2523
84,49,Urban,Regular,32,4.25,Night,Premium,53,192.8798062051633,0.4769,Theatre District,0.41,0.7551,0.0196,1543708374,0.5741,0.1235,1.2535
34,16,Urban,Silver,47,4.12,Evening,Economy,93,294.11580585015537,0.3937,Back Bay,0.12,0.0632,0.0296,1543398556,0.6852,0.2834,1.1519
67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,82.52418774801069,0.3926,Beacon Hill,0.12,0.0629,0.0,1543398556,0.6852,0.284,1.1458
93,23,Suburban,Silver,34,4.23,Evening,Premium,125,386.169069413996,0.3959,Boston University,0.13,0.0634,0.053,1543398556,0.6852,0.2795,1.158
100,51,Urban,Silver,56,3.58,Night,Economy,89,310.9003272621974,0.3873,Fenway,0.13,0.0634,0.126,1543398556,0.7037,0.2817,1.1725
35,22,Suburban,Gold,15,4.23,Morning,Premium,120,373.96284065200393,0.3951,Financial District,0.12,0.0629,0.3173,1543398556,0.6852,0.2868,1.21
36,13,Rural,Silver,31,4.71,Night,Economy,71,221.55110013131716,0.3881,Haymarket Square,0.12,0.0629,0.0963,1543398556,0.7037,0.2851,1.1655
28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,531.1127009643968,0.3889,North End,0.12,0.0629,0.1071,1543398556,0.7037,0.2856,1.1678
21,9,Urban,Gold,10,3.88,Morning,Premium,108,324.9426389036563,0.3867,North Station,0.12,0.0629,0.0643,1543398556,0.7037,0.284,1.1587
26,15,Urban,Regular,35,5.0,Morning,Premium,161,493.4068923175674,0.385,Northeastern University,0.13,0.0634,0.0,1543398556,0.7037,0.284,1.1472
97,21,Suburban,Regular,59,3.87,Evening,Premium,174,778.6333560141928,0.3951,South Station,0.12,0.0632,0.0704,1543398556,0.6852,0.2873,1.1607
26,15,Urban,Silver,10,3.71,Morning,Premium,171,720.1572085631501,0.3845,Theatre District,0.12,0.0632,0.0816,1543398556,0.7037,0.2862,1.1621
91,56,Urban,Gold,17,4.66,Night,Economy,10,38.23523523879646,0.3853,West End,0.12,0.0629,0.3917,1543398556,0.7037,0.284,1.224
65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,573.5891064527985,0.8963,Beacon Hill,0.9,0.7051,0.0491,1544899502,0.5185,0.294,1.4051
88,28,Urban,Gold,22,4.99,Night,Premium,154,682.016246966075,0.9044,Fenway,0.92,0.7049,0.1127,1544899502,0.5185,0.2862,1.4212
82,13,Suburban,Gold,32,3.58,Night,Economy,148,516.4367273015673,0.9086,Financial District,0.9,0.7051,0.0694,1544899502,0.5,0.2968,1.4104
65,40,Urban,Silver,48,3.59,Evening,Economy,121,492.5196024192815,0.9095,South Station,0.9,0.7049,0.0,1544899502,0.5,0.2968,1.3966
41,6,Urban,Silver,56,4.32,Night,Economy,11,49.234784001519046,0.9039,Theatre District,0.91,0.7049,0.2213,1544899502,0.5185,0.2946,1.4422
85,36,Rural,Silver,64,4.32,Evening,Economy,152,506.6928860981053,0.903,West End,0.9,0.7054,0.1709,1544899502,0.5185,0.2951,1.4306
35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,304.3133394836575,0.1615,Back Bay,0.76,0.3857,0.176,1545129901,0.1296,0.9877,1.3172
83,29,Urban,Silver,78,4.42,Afternoon,Premium,23,111.179341237614,0.1699,Beacon Hill,0.8,0.3934,0.0,1545129901,0.1481,0.9832,1.2906
91,31,Urban,Regular,12,4.39,Night,Economy,39,163.21458328772866,0.1643,Boston University,0.79,0.384,0.2549,1545129901,0.1296,0.9793,1.3369
44,28,Rural,Regular,31,4.92,Night,Premium,132,402.856989480614,0.171,Financial District,0.77,0.3851,0.0,1545129901,0.1296,0.9961,1.2858
96,12,Suburban,Gold,15,4.97,Night,Economy,90,289.2351908680133,0.1607,Haymarket Square,0.77,0.3851,0.1496,1545129901,0.1481,0.9989,1.3153
77,46,Suburban,Regular,97,4.2,Afternoon,Premium,25,150.53929481479082,0.1621,North End,0.77,0.3849,0.3566,1545129901,0.1481,1.0,1.357
91,80,Rural,Gold,74,4.74,Night,Economy,46,194.93555934032696,0.1615,North Station,0.8,0.383,0.0,1545129901,0.1481,0.995,1.2894
93,42,Rural,Silver,75,4.66,Morning,Economy,160,674.6485035775572,0.1324,Northeastern University,0.69,0.3851,0.0008,1545129901,0.1667,0.981,1.2685
41,9,Rural,Silver,73,3.51,Morning,Economy,150,551.5572340398235,0.169,South Station,0.77,0.3851,0.0867,1545129901,0.1296,0.9944,1.3026
61,44,Suburban,Regular,69,4.54,Afternoon,Economy,52,132.2147645898824,0.154,Theatre District,0.77,0.3853,0.0088,1545129901,0.1481,0.9922,1.2855
83,10,Urban,Gold,28,3.91,Afternoon,Economy,23,70.11182411078714,0.1554,West End,0.77,0.3853,0.0,1545129901,0.1481,0.9966,1.2844
59,22,Rural,Regular,79,4.38,Morning,Premium,93,346.2847096470098,0.2573,Back Bay,0.27,0.709,0.0827,1544409657,0.2778,0.2694,1.2074
42,31,Suburban,Gold,62,4.95,Night,Premium,13,102.04473025177862,0.2568,Beacon Hill,0.27,0.709,0.0,1544409657,0.2778,0.2722,1.191
81,16,Suburban,Regular,73,4.89,Night,Economy,125,494.1401793052489,0.2576,Boston University,0.27,0.709,0.135,1544409657,0.2778,0.2644,1.2174
72,19,Rural,Gold,89,4.74,Morning,Premium,45,183.658314681842,0.2526,Fenway,0.27,0.709,0.0,1544409657,0.2778,0.265,1.1897
43,9,Rural,Silver,2,4.12,Morning,Economy,126,436.5576476487414,0.2568,Financial District,0.28,0.709,0.2739,1544409657,0.2778,0.275,1.2476
74,33,Urban,Silver,82,4.13,Afternoon,Economy,10,31.362081322241885,0.2571,Haymarket Square,0.28,0.7088,0.0,1544409657,0.2778,0.2756,1.1929
68,45,Rural,Silver,65,4.19,Evening,Economy,112,323.4791093139413,0.2582,North End,0.28,0.7088,0.0323,1544409657,0.2778,0.2767,1.1996
36,13,Urban,Silver,84,4.88,Evening,Premium,140,505.3840569466695,0.2559,North Station,0.28,0.7088,0.1788,1544409657,0.2778,0.2745,1.2284
51,5,Urban,Gold,0,4.59,Afternoon,Premium,92,320.8576215627125,0.254,Northeastern University,0.27,0.709,0.0,1544409657,0.2778,0.2666,1.19
63,23,Urban,Silver,48,4.09,Evening,Economy,49,214.5660524456202,0.2573,South Station,0.28,0.709,0.1032,1544409657,0.2778,0.2745,1.2135
96,29,Urban,Regular,84,3.65,Night,Economy,176,758.5015334295354,0.2554,Theatre District,0.28,0.709,0.2426,1544409657,0.2778,0.2728,1.2409
94,59,Suburban,Regular,84,4.38,Morning,Premium,175,665.7295341217325,0.2543,West End,0.28,0.7088,0.0,1544409657,0.2778,0.2739,1.1923
74,32,Suburban,Regular,2,4.7,Evening,Premium,38,171.06636292972274,0.6502,Boston University,0.98,0.776,0.0977,1544845502,0.7963,0.3153,1.413
91,13,Rural,Silver,32,3.6,Morning,Premium,160,647.3526381087524,0.6438,West End,0.98,0.7758,0.1073,1544845502,0.8148,0.3208,1.4154
69,12,Suburban,Regular,42,4.34,Afternoon,Premium,158,608.1282399929386,0.5876,Back Bay,0.93,0.5443,0.1747,1543209183,0.8704,0.152,1.3757
51,20,Rural,Silver,57,3.68,Night,Economy,67,246.92292493661097,0.5887,North End,0.93,0.5445,0.0,1543209183,0.8704,0.1526,1.341
45,17,Rural,Gold,10,4.93,Night,Premium,148,430.0665305032927,0.5823,Northeastern University,0.92,0.5441,0.0,1543209183,0.8889,0.1548,1.3397
92,34,Suburban,Regular,98,3.99,Night,Economy,140,396.6387527092545,0.584,Theatre District,0.93,0.5443,0.1412,1543209183,0.8889,0.1571,1.3699
69,36,Suburban,Gold,55,4.74,Morning,Economy,109,436.0114486061054,0.5812,Beacon Hill,0.92,0.5451,0.1122,1543210083,0.8889,0.1342,1.36
56,14,Suburban,Silver,30,3.67,Night,Economy,48,202.9454568505992,0.582,North End,0.92,0.5451,0.1062,1543210083,0.8889,0.1353,1.359
43,26,Rural,Regular,59,4.91,Afternoon,Economy,175,731.7816872483901,0.5792,North Station,0.92,0.5451,0.1186,1543210083,0.8889,0.1325,1.3608
86,48,Urban,Silver,37,4.15,Night,Economy,84,216.05054809363543,0.5739,Northeastern University,0.91,0.5449,0.0,1543210083,0.9074,0.1375,1.3362
61,34,Urban,Gold,82,3.99,Night,Premium,10,83.86835620425342,0.6384,Back Bay,0.58,0.4141,0.1039,1543521174,0.1667,0.5797,1.3113
50,36,Suburban,Gold,18,4.61,Night,Economy,145,572.2420492964254,0.6382,Beacon Hill,0.58,0.4141,0.1117,1543521174,0.1667,0.5841,1.3132
73,34,Urban,Regular,95,4.31,Morning,Premium,21,118.8070474355678,0.6435,Boston University,0.59,0.4143,0.0,1543521174,0.1667,0.5735,1.2921
76,7,Urban,Gold,76,4.35,Morning,Economy,72,245.8935711917164,0.6343,Fenway,0.58,0.4143,0.3146,1543521174,0.1852,0.5729,1.353
